"Step","SpaceInvadersNoFrameskip-v4__dqn_atari__1__1745790578 - charts/local_optimality_gap","SpaceInvadersNoFrameskip-v4__dqn_atari__1__1745790578 - charts/local_optimality_gap__MIN","SpaceInvadersNoFrameskip-v4__dqn_atari__1__1745790578 - charts/local_optimality_gap__MAX","SpaceInvadersNoFrameskip-v4__dqn_atari__3__1745790573 - charts/local_optimality_gap","SpaceInvadersNoFrameskip-v4__dqn_atari__3__1745790573 - charts/local_optimality_gap__MIN","SpaceInvadersNoFrameskip-v4__dqn_atari__3__1745790573 - charts/local_optimality_gap__MAX","SpaceInvadersNoFrameskip-v4__dqn_atari__2__1745790573 - charts/local_optimality_gap","SpaceInvadersNoFrameskip-v4__dqn_atari__2__1745790573 - charts/local_optimality_gap__MIN","SpaceInvadersNoFrameskip-v4__dqn_atari__2__1745790573 - charts/local_optimality_gap__MAX"
"97","374.0850524902344","374.0850524902344","374.0850524902344","358.5051574707031","358.5051574707031","358.5051574707031","258.930419921875","258.930419921875","258.930419921875"
"98","374.41326904296875","374.41326904296875","374.41326904296875","359.0816345214844","359.0816345214844","359.0816345214844","259.7193908691406","259.7193908691406","259.7193908691406"
"99","374.5328369140625","374.5328369140625","374.5328369140625","359.3939208984375","359.3939208984375","359.3939208984375","260.99749755859375","260.99749755859375","260.99749755859375"
"100","338.70001220703125","338.70001220703125","338.70001220703125","344.3999938964844","344.3999938964844","344.3999938964844","243.64999389648438","243.64999389648438","243.64999389648438"
"101","339.76239013671875","339.76239013671875","339.76239013671875","345.39605712890625","345.39605712890625","345.39605712890625","243.89108276367188","243.89108276367188","243.89108276367188"
"102","339.92156982421875","339.92156982421875","339.92156982421875","345.29412841796875","345.29412841796875","345.29412841796875","244.0294189453125","244.0294189453125","244.0294189453125"
"103","343.69903564453125","343.69903564453125","343.69903564453125","346.0679626464844","346.0679626464844","346.0679626464844","243.33981323242188","243.33981323242188","243.33981323242188"
"104","344.2115478515625","344.2115478515625","344.2115478515625","347.01922607421875","347.01922607421875","347.01922607421875","242.375","242.375","242.375"
"105","343.952392578125","343.952392578125","343.952392578125","347.19049072265625","347.19049072265625","347.19049072265625","242.8095245361328","242.8095245361328","242.8095245361328"
"106","343.9339599609375","343.9339599609375","343.9339599609375","348.1603698730469","348.1603698730469","348.1603698730469","243.3773651123047","243.3773651123047","243.3773651123047"
"107","343.07476806640625","343.07476806640625","343.07476806640625","349.15887451171875","349.15887451171875","349.15887451171875","243.5607452392578","243.5607452392578","243.5607452392578"
"108","343.75927734375","343.75927734375","343.75927734375","347.59259033203125","347.59259033203125","347.59259033203125","243.92591857910156","243.92591857910156","243.92591857910156"
"109","343.6513671875","343.6513671875","343.6513671875","369.761474609375","369.761474609375","369.761474609375","243.82568359375","243.82568359375","243.82568359375"
"110","343.95452880859375","343.95452880859375","343.95452880859375","368.95452880859375","368.95452880859375","368.95452880859375","243.18182373046875","243.18182373046875","243.18182373046875"
"111","344.16217041015625","344.16217041015625","344.16217041015625","369.33331298828125","369.33331298828125","369.33331298828125","242.50450134277344","242.50450134277344","242.50450134277344"
"112","344.58929443359375","344.58929443359375","344.58929443359375","370.15179443359375","370.15179443359375","370.15179443359375","243.3125","243.3125","243.3125"
"113","344.8760986328125","344.8760986328125","344.8760986328125","370.20355224609375","370.20355224609375","370.20355224609375","244.28318786621094","244.28318786621094","244.28318786621094"
"114","344.368408203125","344.368408203125","344.368408203125","371.1754455566406","371.1754455566406","371.1754455566406","244.53509521484375","244.53509521484375","244.53509521484375"
"115","344.65216064453125","344.65216064453125","344.65216064453125","369.7825927734375","369.7825927734375","369.7825927734375","244.82608032226562","244.82608032226562","244.82608032226562"
"116","344.4137878417969","344.4137878417969","344.4137878417969","369.7930908203125","369.7930908203125","369.7930908203125","245.11207580566406","245.11207580566406","245.11207580566406"
"117","382.67523193359375","382.67523193359375","382.67523193359375","369.5897216796875","369.5897216796875","369.5897216796875","245.13674926757812","245.13674926757812","245.13674926757812"
"118","383.11016845703125","383.11016845703125","383.11016845703125","369.34747314453125","369.34747314453125","369.34747314453125","245.75424194335938","245.75424194335938","245.75424194335938"
